"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48944,1,""7"",""Brugge Centrum-Station-Kloosterhof"",""St.-Michiels - Brugge Station/Brugge Centrum - Station- St.-Michiels"",3,"""",""FFCC11"",""000000"""
"48945,1,""9"",""Brugge Centrum-Station-Kristus Koning-Gevangenis"",""St.Andries Gevangenis - Brugge Centrum - Station/Brugge Centrum -Station - St.Andries Gevangenis"",3,"""",""991199"",""FFFFFF"""
"48946,1,""10"",""Brugge Station-Assebroek -St.Kruis Kerk"",""St.-Kruis - Assebroek Bloso - Brugge Station - 't Zand/Brugge Station - Assebroek Bloso - St.-Kruis"",3,"""",""1199DD"",""FFFFFF"""
"48947,1,""11"",""Brugge Station-Assebroek Peerdeke-St.Kruis kerk"",""St.Kruis-Assebroek Peerdeke-Brugge Station/Brugge Station-Centrum-Assebroek Peerdeke-St.Kruis"",3,"""",""005555"",""FFFFFF"""
"48948,1,""12"",""Centrum-Station-Katelijneparking"",""Station-Bargeplein (Katelijneparking)-Centrum/Centrum-Bargeplein (Katelijneparking)-Station"",3,"""",""DD0077"",""FFFFFF"""
"48949,1,""13"",""Brugge Station - 't Zand - AZ Sint-Jan"",""AZ Sint-Jan - Centrum (Stadsschouwburg)/Brugge Station - AZ Sint-Jan"",3,"""",""EE8822"",""FFFFFF"""
"48950,1,""14"",""Brugge Station - Centrum - St-Jozef(Ghandi)"",""St.-Jozef - Centrum (Stadsschouwburg)/Station-Centrum (Stadsschouwburg)-St.-Jozef"",3,"""",""8899AA"",""000000"""
"48951,1,""15"",""Brugge Centrum-Station-Sint-Andries (De Prange)"",""St-Andries (De Prange)- Station/Centrum (Stadsschouwburg)-Station-St-Andries (De Prange)"",3,"""",""C5AA77"",""000000"""
"48952,1,""16"",""Brugge Station-Centrum-St.Kruis (Dampoortkwartier)"",""St.-Kruis (Dampoortkwartier)-Centrum (Stadsschouwburg)/Station-Centrum (Dijver)-St.-Kruis (Dampoortkwartier)"",3,"""",""444411"",""FFFFFF"""
"48953,1,""17"",""Brugge Centrum-Station-St.Michiels (Boudewijnpark)"",""St.-Michiels (Boudewijnpark)-Station/Centrum(Stadsschouwburg-Station-St.-Michiels (Boudewijnpark)"",3,"""",""77CCAA"",""000000"""
"48954,1,""20"",""Brugge-Oostkamp"",""Oostkamp -  Brugge/Brugge - Oostkamp"",3,"""",""0044BB"",""FFFFFF"""
"48955,1,""21"",""Brugge-Zwevezele-Tielt"",""Tielt - Zwevezele - Brugge/Brugge - Zwevezele - Tielt"",3,"""",""EE8822"",""FFFFFF"""
"48956,1,""22"",""Zwevezele-Ardooie-Roeselare"",""Roeselare - Ardooie - Zwevezele/Zwevezele - Ardooie - Roeselare"",3,"""",""AACCEE"",""000000"""
"48957,1,""23"",""Brugge Station-Blauwe Toren"",""Blauwe Toren - Station/Station - Blauwe Toren"",3,"""",""0099AA"",""000000"""
